cal_S_function with E_thr = 5.0 MeV
T[MeV]	cal_S	cal_S_error
5.090	4.6107926910e-08	9.3430680577e-15
5.100	4.6560074854e-08	9.3660626650e-15
5.110	4.7015641200e-08	9.3892421268e-15
5.120	4.7474643688e-08	9.4126087682e-15
5.130	4.7937100098e-08	9.4361649415e-15
5.140	4.8403028246e-08	9.4599129844e-15
5.150	4.8872445989e-08	9.4838553579e-15
5.160	4.9345371223e-08	9.5079944801e-15
5.170	4.9821821879e-08	9.5323328606e-15
5.180	5.0301815929e-08	9.5568729728e-15
5.190	5.0785371382e-08	9.5816174193e-15
5.200	5.1272506283e-08	9.6065687245e-15
5.210	5.1763238716e-08	9.6317295364e-15
5.220	5.2257586801e-08	9.6571025552e-15
5.230	5.2755568694e-08	9.6826904498e-15
5.240	5.3257202590e-08	9.7084959465e-15
5.250	5.3762506717e-08	9.7345218292e-15
5.260	5.4271499340e-08	9.7607709399e-15
5.270	5.4784198762e-08	9.7872461489e-15
5.280	5.5300623317e-08	9.8139503388e-15
5.290	5.5820791377e-08	9.8408864828e-15
5.300	5.6344721348e-08	9.8680575795e-15
5.310	5.6872431672e-08	9.8954666756e-15
5.320	5.7403940823e-08	9.9231168286e-15
5.330	5.7939267310e-08	9.9510112450e-15
5.340	5.8478429676e-08	9.9791530833e-15
5.350	5.9021446497e-08	1.0007545592e-14
5.360	5.9568336383e-08	1.0036192121e-14
5.370	6.0119117975e-08	1.0065095949e-14
5.380	6.0673809950e-08	1.0094260571e-14
5.390	6.1232431013e-08	1.0123689405e-14
5.400	6.1794999905e-08	1.0153386015e-14
5.410	6.2361535396e-08	1.0183353975e-14
5.420	6.2932056289e-08	1.0213596969e-14
5.430	6.3506581417e-08	1.0244118740e-14
5.440	6.4085129645e-08	1.0274923036e-14
5.450	6.4667719868e-08	1.0306013779e-14
5.460	6.5254371012e-08	1.0337084936e-14
5.470	6.5845102032e-08	1.0368251368e-14
5.480	6.6439931913e-08	1.0399698306e-14
5.490	6.7038879670e-08	1.0431429357e-14
5.500	6.7641964345e-08	1.0463448241e-14
5.510	6.8249205013e-08	1.0495758659e-14
5.520	6.8860620772e-08	1.0528364435e-14
5.530	6.9476230753e-08	1.0561269422e-14
5.540	7.0096054113e-08	1.0594477665e-14
5.550	7.0720110035e-08	1.0627993080e-14
5.560	7.1348417733e-08	1.0661819862e-14
5.570	7.1980996443e-08	1.0695962090e-14
5.580	7.2617865432e-08	1.0730424075e-14
5.590	7.3259043991e-08	1.0765210167e-14
5.600	7.3904551438e-08	1.0800324768e-14
5.610	7.4554407117e-08	1.0835772379e-14
5.620	7.5208630395e-08	1.0871557598e-14
5.630	7.5867240667e-08	1.0907685175e-14
5.640	7.6530257351e-08	1.0944159851e-14
5.650	7.7197699889e-08	1.0980986519e-14
5.660	7.7869587750e-08	1.1018170181e-14
5.670	7.8545940423e-08	1.1055715926e-14
5.680	7.9226777422e-08	1.1093629013e-14
5.690	7.9912118285e-08	1.1131914707e-14
5.700	8.0601982573e-08	1.1170578467e-14
5.710	8.1296389866e-08	1.1209625851e-14
5.720	8.1995359770e-08	1.1249062562e-14
5.730	8.2698911912e-08	1.1288894429e-14
5.740	8.3407065938e-08	1.1329127400e-14
5.750	8.4119841518e-08	1.1369767539e-14
5.760	8.4837258342e-08	1.1410821163e-14
5.770	8.5559336120e-08	1.1452294574e-14
5.780	8.6286094582e-08	1.1494194394e-14
5.790	8.7017553479e-08	1.1536527252e-14
5.800	8.7753732579e-08	1.1579300108e-14
5.810	8.8494651671e-08	1.1622519997e-14
